pair,component,marginal_w1_between_q05,marginal_w1_between_median,marginal_w1_between_q95,marginal_w1_within_q05,marginal_w1_within_median,marginal_w1_within_q95,marginal_w1_between_over_within_q05,marginal_w1_between_over_within_median,marginal_w1_between_over_within_q95,median_mae_between_q05,median_mae_between_median,median_mae_between_q95,median_mae_within_q05,median_mae_within_median,median_mae_within_q95,median_mae_between_over_within_q05,median_mae_between_over_within_median,median_mae_between_over_within_q95,iqr_mae_between_q05,iqr_mae_between_median,iqr_mae_between_q95,iqr_mae_within_q05,iqr_mae_within_median,iqr_mae_within_q95,iqr_mae_between_over_within_q05,iqr_mae_between_over_within_median,iqr_mae_between_over_within_q95,tail_mae_between_q05,tail_mae_between_median,tail_mae_between_q95,tail_mae_within_q05,tail_mae_within_median,tail_mae_within_q95,tail_mae_between_over_within_q05,tail_mae_between_over_within_median,tail_mae_between_over_within_q95,pearson_corr_rmse_between_q05,pearson_corr_rmse_between_median,pearson_corr_rmse_between_q95,pearson_corr_rmse_within_q05,pearson_corr_rmse_within_median,pearson_corr_rmse_within_q95,pearson_corr_rmse_between_over_within_q05,pearson_corr_rmse_between_over_within_median,pearson_corr_rmse_between_over_within_q95,spearman_corr_rmse_between_q05,spearman_corr_rmse_between_median,spearman_corr_rmse_between_q95,spearman_corr_rmse_within_q05,spearman_corr_rmse_within_median,spearman_corr_rmse_within_q95,spearman_corr_rmse_between_over_within_q05,spearman_corr_rmse_between_over_within_median,spearman_corr_rmse_between_over_within_q95
Lopex / Angers,residual,0.6142844435150948,0.629784459329262,0.6619379304556049,0.24031279452533885,0.3015684640069811,0.3817047742826027,1.708522382697426,2.096000187708696,2.5754124103220137,0.4583698086691243,0.4739122317684587,0.5031968971318216,0.1058218360023689,0.1500372489864567,0.2184826262613838,2.204175977244265,3.1464693546720985,4.396744661378893,0.3321720553089123,0.37190204807529326,0.4154210122900913,0.15386150947939764,0.22231642087426803,0.33480535780901355,1.205505125797215,1.6526210847092488,2.3311403693721493,0.6364138865894234,0.785045395826597,0.9570047983135409,0.3819231649631241,0.5646724124917836,0.8173806928480433,1.1001200017643096,1.3990960983755047,1.78912538417354,0.200525259220039,0.22087719801309236,0.27447297788453595,0.1308385377614726,0.18915524958069224,0.26522881285218336,0.9423778451640578,1.1922840904539993,1.5499417357091247,0.19804834394700546,0.20982754137712195,0.23940791670177045,0.1089003417858313,0.1461810455725625,0.19811797108969456,1.1497150009287684,1.4657180577569386,1.8266068369669983
Lopex / IFGG_train,residual,1.0283693777852314,1.035207910847708,1.0472590190826945,0.23574261424491463,0.292933537612501,0.3814266778569549,2.738390602311438,3.5372155426084397,4.366307322654186,0.8361918230982637,0.856800155921786,0.879848890753214,0.11465033743619929,0.182003172154059,0.2720073016544355,3.18004076580092,4.685994749861047,7.497480807515477,0.34219847690716915,0.38562541166063286,0.43079769674236523,0.18141642006256728,0.25827682075841263,0.3654125443757576,1.1018569710229964,1.478367967854191,2.0693611355279073,1.250440002054221,1.3157395584599685,1.382991515042462,0.3260752009554788,0.44869391091997635,0.6405385070866862,2.0325889974669247,2.9637235887574027,4.000157977770174,0.3324832711452253,0.34787494822185266,0.36493772134237534,0.10155982993917637,0.1531577428063861,0.20747207863113126,1.6687123699779702,2.2883016954161386,3.423190247384522,0.2280344702517615,0.23844814265915176,0.2712468442152934,0.0986081830664745,0.13923621490948895,0.19834239541094748,1.3109610567981935,1.7338233494970736,2.373144692704751
Lopex / UW_train,residual,0.7016629155725175,0.7092452119283299,0.7251245032575381,0.18818503190427185,0.22994383024554788,0.29748212886000686,2.39902892799433,3.0954854378549,3.7525229976678776,0.5015795668056772,0.5177400879592382,0.5504892607920407,0.09680902077826367,0.14369289677548852,0.22205284733108946,2.431676955926182,3.59798237294943,5.214635834438176,0.4381211803795345,0.46924491743543034,0.5074894108549276,0.147380069248658,0.2035220321427622,0.29421168200463954,1.6309506221124184,2.3018419338777396,3.0967423602450572,0.9170024894750575,0.9657764056675744,1.0778929591958726,0.2623589819210139,0.3629465773080741,0.5432230408341919,1.8719063174765374,2.6576152142500327,3.5478857980807508,0.22832751644007224,0.23914471785628888,0.2599533209094031,0.09973753541681742,0.1405092609329387,0.19553701949438718,1.2956778200508603,1.71986776282144,2.3044419098152003,0.2319765330490423,0.2413100871269479,0.2639230652634118,0.10253190156449464,0.1327062075515638,0.18247734022066692,1.352631976351423,1.8350951503433566,2.320722252760654
Angers / IFGG_train,residual,1.28762197499079,1.2910728839792038,1.2989516237440333,0.22797260198598898,0.284189191619472,0.3702449095844608,3.5009926462465026,4.54597013772373,5.673152753538212,0.9880926653976926,1.0034101998247613,1.031062631759416,0.09976983754172973,0.15336119843588675,0.23049876147052636,4.439863128725381,6.539358668895883,9.994865790350515,0.5673643637439084,0.6129525934621182,0.6519123410019626,0.1735507152981928,0.24873679166810758,0.35958189372242705,1.6964661280168989,2.4742412244555574,3.5757825871026867,1.503461481437895,1.6197939677111715,1.7609543590400172,0.3143003098787311,0.48251528738126914,0.6623215051754757,2.5745414338004458,3.3716804323657166,4.9565036703429,0.3219086304518542,0.339473176761777,0.367109124635059,0.12316800679333624,0.17358808176738139,0.24098329675963978,1.4561731803688405,1.9659593667545454,2.7447329568481655,0.3136468385884835,0.3232754839610126,0.3381904480407448,0.10270373605162762,0.14021774469402815,0.18571632310216982,1.7526860490089609,2.294869126663148,3.1243438684272706
Angers / UW_train,residual,0.6702611073115824,0.6777691655911615,0.6945777871517944,0.18002005442930144,0.22464155168743496,0.2848674645106505,2.4088410695225737,3.0218003602168397,3.7553573007610215,0.5096264518876624,0.5235257259221766,0.5524281972115757,0.08387698608581876,0.12068393771217825,0.16315781332340615,3.2467474820115347,4.38556894573805,6.122602770173361,0.28399927906281625,0.31086063389310764,0.35597671277119924,0.1326745276029754,0.19519178246067465,0.2725510873812857,1.2185729529865086,1.614540077366704,2.1980365358079395,0.6863669679449893,0.8043488859618633,0.9552542317915954,0.2508555927660807,0.4018555600659894,0.5630323888522466,1.589619976970154,1.976540467850137,2.7438721793253817,0.30210546308907826,0.3156494170067211,0.34380675831585567,0.11666344850051398,0.16261712106039733,0.23077709799366858,1.4835886267582596,1.9560368811553674,2.6267092915230394,0.3383692108666081,0.34603522621381083,0.3610689490083376,0.10727702315209638,0.13479505120035323,0.18338596939224577,1.9729756471090232,2.575702895778588,3.2065423608373953
IFGG_train / UW_train,residual,1.0434232716325278,1.047372775737848,1.0559153560738666,0.17329793034886087,0.21319506572412744,0.27728186290639245,3.7897917244512924,4.906886222027795,6.0383647273420085,0.8006963813963417,0.8174073845316612,0.8348727837327446,0.10043855584938746,0.14874278897189583,0.21727570057035878,3.7637198646624324,5.506322358960972,8.200810851271042,0.7054756079553758,0.7386565465084776,0.77784470869247,0.16300280856467542,0.22821840809081367,0.3298825746402711,2.291568421029831,3.237249807595885,4.4931712475349945,1.3287881767296401,1.390880026774259,1.4251596052995248,0.20506343837624375,0.2750613555469172,0.4061794415983541,3.3646337428167747,5.051891722808225,6.766380208470716,0.3510771594565126,0.35985386869724345,0.37668820384894064,0.08666662159807802,0.12236412537428502,0.17619520094804259,2.0456280595846494,2.93423078233279,4.12577910930851,0.30497470118220155,0.3119058313369486,0.3344879129940178,0.09230713095255527,0.12761003793244582,0.19006322502507295,1.7312319365895161,2.454944415645265,3.3127613035730166
Lopex / Angers,tangent,0.42264073044809297,0.44286353553288993,0.4892685739352507,0.23489909316326232,0.29427871638824377,0.3819865568342883,1.2395677299338956,1.522615279611127,1.8709722377915414,0.22497609079838793,0.2468528368790703,0.28972851971822494,0.08225177946023837,0.1292890423841186,0.20292169334348584,1.2322045853958272,1.9150948213679235,3.0269759886924623,0.3276998267201474,0.3668042118730377,0.41285300220684795,0.14803619620540842,0.21038473890621343,0.3187728214682377,1.2072583927262457,1.7214731553036404,2.4881002904184393,0.546769579505881,0.7001967933880533,0.883746623782271,0.37539662903569293,0.5549468080278555,0.803618878865311,0.9508299208392867,1.2539083693221147,1.5737883964463357,0.16182033409911462,0.18739408140585734,0.25574320747904966,0.13389726906328678,0.1862810393700975,0.2554380450892985,0.7973123385109601,1.0546339014059254,1.2519210293930636,0.17302113502591046,0.18727324085129304,0.22061436776220636,0.09320660966559983,0.13751346858083618,0.19127714591087935,1.0553918432675393,1.4079083642596566,1.8708071418227494
Lopex / IFGG_train,tangent,0.9200696153731713,0.9264263674984011,0.9386116845091704,0.22036009678196897,0.2823939515201218,0.3714683413214147,2.49527398716928,3.282323591422734,4.1934634654531555,0.7287485658575865,0.7520091393135581,0.7754036920441526,0.09524181543689283,0.16109374493370388,0.25581904450550413,2.9823649927874465,4.6572673874675985,8.001367425936289,0.34462131751499714,0.3973078030842946,0.45375068720256967,0.16605122722117927,0.24686855154714135,0.3421871850031581,1.1175225754603941,1.621769251233049,2.39698637145671,1.1349399983545463,1.2049697284760605,1.2904292706989025,0.30626945954374307,0.4329899835076878,0.6203794831812623,1.977925188767966,2.8032529153495895,3.901405264091556,0.31522484376035664,0.3300025742063405,0.34373820801352145,0.0981603547047678,0.140928410629262,0.20341064741265405,1.683838741049288,2.3604450884786727,3.3524713281750302,0.21807672287733137,0.2295934625796347,0.2675962729455572,0.08513004658941756,0.1325197395960229,0.19819641896768622,1.2598841099075206,1.766515285298571,2.594837799470196
Lopex / UW_train,tangent,0.550747356564361,0.55847188220524,0.5803894090860944,0.1751928878159059,0.22124540656868796,0.2919961063309027,1.920076084288409,2.532710647159039,3.1394070202621025,0.3458050057004299,0.3662587987694069,0.3863350393312045,0.07817277585134026,0.12332985465918431,0.20342122487262732,1.7751215674463345,2.930224320913604,4.687854040922874,0.4114623708336227,0.44695011010176633,0.4890118055036804,0.1286894476035853,0.18461451533133322,0.2784826062706345,1.6313166849532557,2.3996099718669743,3.457077216957044,0.8179737797253568,0.873906513532807,0.9765568575346649,0.26400908633334047,0.3643989295874557,0.5375339530522147,1.7367999011241346,2.367287170866997,3.1873815541385158,0.2263368581897518,0.23704004385718663,0.26065819083071534,0.09815334916243144,0.13046058222750312,0.17965023018807763,1.3759650360537434,1.8236137337948686,2.352487968395909,0.2051651435608836,0.2156106046075031,0.24554180943734027,0.09004399606055682,0.12806084682035687,0.17934364564737035,1.2708202794179055,1.726646045468256,2.3210674623689
Angers / IFGG_train,tangent,1.1548428731284808,1.159536644166557,1.170484377629346,0.21300900646823354,0.27331217428820775,0.3625264784026736,3.218567593673647,4.253552427320204,5.444547298931891,0.8806780233685805,0.8998610380649039,0.923249196945595,0.08244813777405142,0.1405415354961369,0.21664441612974586,4.18041903953158,6.45753886980074,10.851563253288747,0.5627248183429635,0.6138456621746107,0.6587870365855815,0.16336336801735993,0.23530206814620466,0.3621298454330191,1.6913246149909036,2.5710033367032867,3.8758568412423076,1.3709366187331191,1.5021748238608499,1.6514929440684316,0.28292760896127456,0.46356115079932203,0.6639455794047695,2.438359230586764,3.26365460065177,5.011644799541992,0.3048379278047001,0.3224614854000183,0.3517626890903381,0.1190350577817718,0.16879371225726963,0.2360901061538169,1.3966582639741953,1.896686609259938,2.605873299740835,0.30221509862853513,0.31433181418420975,0.33028749180734673,0.09173024388606667,0.12891203280821686,0.1810055667686979,1.7511444042639932,2.455231854215211,3.355168962874725
Angers / UW_train,tangent,0.5592031505714021,0.5673745665204896,0.586910378439511,0.17353411944625882,0.21823207905689201,0.28394578449248986,2.047469148934569,2.5892181906835567,3.275212141107295,0.38818857239500526,0.4053943837348422,0.42896731081944245,0.07002665862283758,0.10913876757061872,0.15207362141928468,2.648400270099043,3.811333371012486,5.70123541174282,0.23549134147658604,0.26585406915320686,0.32250023380677006,0.12348304370599525,0.19147910542341162,0.2644586354604353,1.0735296494979873,1.4385922738341876,1.996160470451965,0.6009459213269466,0.7236756454943929,0.8756053506431656,0.24342052016706145,0.3946655328709338,0.5797596887186921,1.4432275670874166,1.8176873348756275,2.542985154529219,0.23930769247122588,0.2609724616425845,0.2993027605439065,0.11466114688731556,0.16617445120514357,0.23194457941185428,1.2173381604692555,1.6191438419942583,2.1436408397646205,0.3181829136109822,0.3267563628317891,0.34577387967712175,0.0907524397301115,0.1251680475102332,0.1774343419943679,1.8915280146288338,2.606203787841358,3.5618427037988707
IFGG_train / UW_train,tangent,0.9185859622858509,0.9227594277528794,0.9341089058449369,0.1593517767554063,0.20701228956063644,0.269943000249854,3.422865806970368,4.468809702379689,5.767920201649878,0.7089012482980576,0.7288351385711611,0.7483924491419968,0.08444881513893521,0.1334888865212397,0.2103533164539803,3.465020543906798,5.448583357409435,8.713934286311483,0.6392798134900013,0.6792812640445097,0.7187298618849713,0.1536549853551294,0.21216569689505288,0.3152771943976119,2.1943998974956775,3.218661156016858,4.424630187040906,1.162014147906449,1.2312276667309725,1.2756139961074235,0.17955112660889988,0.26757978367165836,0.4046434881587648,3.011214828100585,4.5884095499469995,6.959566677957113,0.30874838255942255,0.3189157889724986,0.33543614459988974,0.08060472748648446,0.11622589598833433,0.17056543829535464,1.8904432935751798,2.7204385819168246,3.970875184800297,0.2542094036576086,0.26299649595700614,0.28843817682487505,0.08376552325409567,0.12243649729647077,0.1850781333563152,1.5377621093322504,2.143755995336172,3.0883129886901663
Lopex / Angers,normal,0.38054594487763244,0.38317072919423745,0.38901509550153257,0.0763538163790693,0.08727080840138865,0.10712101726029996,3.603430174067584,4.371853908382539,5.001350809270662,0.3481546738918303,0.3511027672150667,0.3582584494849594,0.036300087131636974,0.04677046215144219,0.06419526271753492,5.482241788038714,7.515121818670634,9.63625814621178,0.1262595778100127,0.1321592485992792,0.14116065932017804,0.0569807047659284,0.07026275709775655,0.08844317478375803,1.5168548127791859,1.8850555200523345,2.29587030657507,0.38610262541835194,0.4030777226464488,0.41934233859195047,0.11537068375800065,0.14179949496182653,0.18595139047416,2.2410444751062633,2.83802697207145,3.452744183584686,0.34487135278873143,0.36079568319605004,0.3956122094576018,0.18196850152324434,0.23631532898780105,0.30606662128411405,1.208465660111326,1.5361134149033666,1.9372943240044258,0.2663246609342696,0.27436633784141534,0.28777432684942744,0.1364250791166858,0.16157026379064607,0.19978760298055978,1.4307817499548507,1.6927580721530173,1.956114142429419
