source,component,marginal_w1_q05,marginal_w1_median,marginal_w1_q95,median_mae_q05,median_mae_median,median_mae_q95,iqr_mae_q05,iqr_mae_median,iqr_mae_q95,tail_mae_q05,tail_mae_median,tail_mae_q95,pearson_corr_rmse_q05,pearson_corr_rmse_median,pearson_corr_rmse_q95,spearman_corr_rmse_q05,spearman_corr_rmse_median,spearman_corr_rmse_q95,pearson_pattern_r_q05,pearson_pattern_r_median,pearson_pattern_r_q95,spearman_pattern_r_q05,spearman_pattern_r_median,spearman_pattern_r_q95,marginal_w1_over_iqr_q05,marginal_w1_over_iqr_median,marginal_w1_over_iqr_q95,median_mae_over_iqr_q05,median_mae_over_iqr_median,median_mae_over_iqr_q95,iqr_mae_over_iqr_q05,iqr_mae_over_iqr_median,iqr_mae_over_iqr_q95,tail_mae_over_iqr_q05,tail_mae_over_iqr_median,tail_mae_over_iqr_q95
Lopex,residual,0.22555326880571222,0.3010682206934175,0.43366266787990376,0.10735240781166194,0.16871863925813796,0.30403493770850243,0.14213862759503024,0.2288338117034207,0.37611610530130907,0.34269428100208765,0.5215322966652425,0.8248340657632081,0.09884146405756958,0.16493318791006417,0.24587124371089306,0.09576934722464421,0.14067424677616258,0.227164537402364,0.929233383656425,0.9666408232220494,0.986332682149608,0.9485255284611205,0.9737260807521214,0.9859153524284252,0.16634970193298507,0.22204337378495043,0.3198342277336932,0.07917438366473349,0.1244331128506318,0.22423138238173118,0.10482986329036093,0.16876916291487065,0.2773925748908653,0.2527433621365109,0.38463970200059044,0.6083303589897118
Angers,residual,0.20834842667215464,0.2891833392408536,0.41130373937465836,0.07294840617028349,0.12503569068913933,0.2066303860340862,0.1255418109487363,0.20232392730388754,0.3456524581415459,0.30470704434080403,0.5986635924241177,0.9465245187438381,0.13621508085341333,0.2088523471466968,0.32412954468933236,0.10424594022141113,0.1461308327486187,0.20595071121534786,0.833086861056532,0.9413107960462507,0.978045801896945,0.9396057404227469,0.9693950612610782,0.9822979958018593,0.20370818390516607,0.282742777535257,0.4021433668575584,0.07132373196706694,0.12225095183316195,0.20202840669807967,0.12274580000920479,0.19781785948635666,0.33795424153198655,0.2979207456336977,0.5853304252436587,0.925443948940498
IFGG_train,residual,0.20207501452790283,0.271603432347155,0.3918754907240232,0.10009553465659593,0.1816637809925305,0.30762787324593477,0.17314058986787792,0.27632433026826764,0.4491123704469367,0.22386406079602725,0.33054405170974577,0.5898361716472598,0.0755261641494294,0.12629548686430192,0.21859720519743936,0.06867155847604106,0.12635725616188032,0.23087367573428463,0.9360195408611582,0.968200148757205,0.9865324272003191,0.9443694345441325,0.9728759843262985,0.9890986477600647,0.12393543719525199,0.1665781898386438,0.24034272808269175,0.06138999360183027,0.11141694173548075,0.18867248409335627,0.10618954922087252,0.16947358266676835,0.2754469082245263,0.13729896450522872,0.20272729736847628,0.3617547868422043
UW_train,residual,0.11829407364759535,0.1537766365986583,0.21876822069068025,0.07225826904410915,0.11248957146880273,0.17836122870625987,0.11065938043872478,0.1723294306926432,0.2758687606771895,0.13366937419622762,0.2043692321791707,0.31487844511927154,0.07343145600210178,0.10904938962979724,0.17740503389405726,0.08034371910410848,0.12384167015235312,0.198552411475992,0.9645451621975375,0.983733672394374,0.9927183155398872,0.954273478096675,0.9791553059470395,0.9900323753433903,0.1188098114783494,0.15444707110593814,0.2197220051373386,0.07257330023529013,0.11298000286390882,0.17913884697864796,0.11114183257736761,0.173080751566293,0.2770714917339313,0.13425214517503073,0.2052602399974571,0.3162512503767928
Lopex,tangent,0.22147083754125113,0.29313940121703297,0.43482002378348195,0.07274934406641813,0.14310982910356734,0.27970392650946657,0.1222987765161269,0.199653670856891,0.3769024876854881,0.3504168826286287,0.51400492501215,0.8268583477608499,0.09412609009451138,0.15281263096111308,0.24211848547023745,0.08161549731324227,0.13168586927993792,0.2203261463023599,0.9472391776003719,0.9739577372538661,0.9886485007924777,0.9531145415352273,0.979089364079305,0.9915627519977392,0.17920806450605187,0.2372002802074683,0.3518443138419941,0.05886675324375068,0.11580050795927141,0.22632866638781807,0.09896078090566235,0.16155421780588824,0.30497904859844877,0.2835476309354916,0.4159185416041452,0.6690708617349855
Angers,tangent,0.1918913316496178,0.28124693233623355,0.407324549127142,0.054845055078716363,0.10874798512238795,0.2018026170808962,0.11783008816275822,0.20318588509819416,0.36046300206477166,0.2841195394440134,0.5977852319186234,0.9668923354365326,0.14237546236205736,0.21347997097766602,0.3288413095536783,0.08413575144677138,0.12753485560009498,0.20373629001044452,0.869716818887149,0.9522655417464888,0.9789546366455215,0.9549910524309301,0.9820219330923593,0.9910827092845551,0.2088720499264285,0.30613484615267994,0.44336923836087117,0.05969836669608719,0.11837123846405473,0.2196603981422672,0.128257028840188,0.22116607337984517,0.3923608508871028,0.309261654070876,0.6506840394154774,1.0524539197504847
IFGG_train,tangent,0.18121747193939153,0.2605100211538925,0.3802462515214957,0.07992660264626066,0.15750278619510028,0.30428127295163504,0.1625006669048538,0.2638513488237759,0.44154962175101325,0.1876345817367458,0.30151972323019927,0.5698660184030617,0.06798300272417475,0.12089190994752871,0.2090752056447921,0.06694782035234421,0.12332720621685003,0.21692796319764804,0.9424104506455951,0.9766660269050728,0.9914797260862641,0.9539484801687177,0.979609413591057,0.9918777275567717,0.11786525034604442,0.1694377398180802,0.24731511343296667,0.051984882745528274,0.10244103466631407,0.19790690173656314,0.10569169507311954,0.1716109652697115,0.2871873012624874,0.12203898836737705,0.19611076836279584,0.3706452816273956
UW_train,tangent,0.11110109031796526,0.1457557435663125,0.2110221078792241,0.05502660314129586,0.09544281504753008,0.1733213542342962,0.0949716934826322,0.15708632793765467,0.2675931304194669,0.1264079966118076,0.20661110061476284,0.3174043654601104,0.06036432866165468,0.10376536730083172,0.1806147239848039,0.06671974932579997,0.11953208556460293,0.199981010340667,0.9670063556576489,0.9871896747222664,0.9954144189807103,0.9600669401144909,0.9833551961112998,0.9939797217567041,0.1198694182995887,0.15725908850322684,0.2276764093623425,0.05936941654372647,0.10297535953859746,0.187000234214646,0.10246705608476925,0.16948390604282193,0.28871213408029617,0.1363843773171646,0.2229172762755925,0.3424545748791919
Lopex,normal,0.075354204148986,0.0911178870304784,0.12955731755601477,0.031268225060118136,0.045667237939458566,0.08076838340135872,0.05165461670456133,0.07021576823709255,0.10136534674306165,0.10107627629946273,0.13553130551812342,0.22485117453133746,0.15868693266859246,0.23193434678187616,0.3724249587317219,0.1273810555208542,0.15813008846091692,0.217837116274459,0.7491374211725611,0.8971264021445837,0.94932972658392,0.8812288684179913,0.9342740544725063,0.9563546198547421,0.18502177785608415,0.22372731081515654,0.3181099913295505,0.07677478192973618,0.11212955731878885,0.19831554271258692,0.12683073393299354,0.17240506245771886,0.24888852425962582,0.24817875195157285,0.332778288687649,0.5520908160951834
Angers,normal,0.06689485381279293,0.08241047980370968,0.1059575936004742,0.033234710089472354,0.04428686595382169,0.07142601230539726,0.05257843374951917,0.068224824117744,0.09068114001570274,0.10997567281470995,0.14122552190292606,0.18560866409054821,0.17282464864080338,0.22972990815220382,0.29445715193920485,0.13662097700425346,0.16620754138408228,0.20615553535017997,0.7638524554379061,0.8464329114443963,0.9121422854981611,0.8677451475405228,0.912582448309734,0.9399086652822202,0.18262840765195548,0.22498733224687736,0.28927287369580856,0.09073346956405139,0.12090675661952494,0.19499883995215594,0.14354341306105345,0.1862593350727304,0.24756690927942063,0.3002425577131905,0.385557194834849,0.5067267934260884
IFGG_train,normal,0.06706233644135137,0.08463937633290697,0.1204623393634989,0.03748542250427417,0.0583496910945978,0.10561059204325429,0.054654854283688464,0.07994054130750008,0.1237720970326685,0.08572814237920963,0.11921600540443897,0.18672460943969252,0.11730490912291007,0.17117676002855023,0.26214574923427586,0.12112641737267067,0.15245881315162402,0.20743530475377894,0.8497067545526185,0.9333884431997121,0.9691159913218044,0.8883385407477298,0.9384696395269325,0.9601536945700733,0.1378317287697916,0.17395742798439356,0.2475835672776598,0.07704295528010159,0.11992482253858176,0.21705910128039094,0.11233090660612288,0.16430001684837875,0.25438603861340986,0.1761951446276093,0.24502200480731606,0.38377093743885005
UW_train,normal,0.03322542264031118,0.040524602332454376,0.052661652660363226,0.024794742726348334,0.03588792756479234,0.05580957004830707,0.035902737820387116,0.044259497825638386,0.05786116598222726,0.038030587946500376,0.04673601620598855,0.05895625730320378,0.1096942187277722,0.1404783158569871,0.18860802417081798,0.11561583573305828,0.1465478315124758,0.19872420875809557,0.9147418695577547,0.9531942957334001,0.9704759577341014,0.9062643494302485,0.9474673649702103,0.967079533443482,0.11615863672863382,0.14167713114946934,0.18410919394846062,0.08668433037885527,0.12546695902325458,0.19511455560409474,0.12551873681756937,0.1547346134728337,0.20228709301263456,0.1329578647554722,0.1633927124836153,0.20611561661984548
